UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
77.0,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0
78.0,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0
79.0,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0
80.0,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0
81.0,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0
82.0,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0
83.0,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0
84.0,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0
85.0,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0
86.0,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0
87.0,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0
88.0,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0
89.0,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0
90.0,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0
91.0,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0
92.0,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0
93.0,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0
94.0,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0
95.0,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0
96.0,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0
97.0,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0
98.0,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0
99.0,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0
100.0,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0
101.0,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0
102.0,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0
103.0,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0
104.0,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0
105.0,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0
106.0,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0
107.0,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0
108.0,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0
109.0,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0
110.0,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0
111.0,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0
112.0,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0
113.0,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0
114.0,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0
115.0,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0
116.0,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0
117.0,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0
118.0,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0
119.0,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0
120.0,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0
121.0,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0
122.0,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0
123.0,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0
124.0,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0
125.0,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0
126.0,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0
127.0,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0
128.0,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0
129.0,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0
130.0,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0
131.0,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0
132.0,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0
133.0,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0
134.0,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0
135.0,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0
136.0,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0
137.0,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0
138.0,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0
139.0,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0
140.0,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0
141.0,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0
142.0,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0
143.0,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0
144.0,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0
145.0,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0
146.0,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0
147.0,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0
148.0,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0
149.0,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0
150.0,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0
151.0,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0
152.0,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0
153.0,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0
154.0,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0
155.0,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0
156.0,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0
157.0,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0
158.0,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0
159.0,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0
160.0,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0
161.0,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0
162.0,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0
163.0,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0
164.0,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0
165.0,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0
166.0,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0
167.0,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0
168.0,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0
169.0,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0
170.0,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0
171.0,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0
172.0,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0
173.0,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0
174.0,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0
175.0,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0
176.0,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0
177.0,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0
178.0,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0
179.0,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0
180.0,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0
181.0,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0
182.0,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0
183.0,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0
184.0,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0
185.0,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0
186.0,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0
187.0,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0
188.0,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0
189.0,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0
190.0,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0
191.0,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0
192.0,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0
193.0,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0
194.0,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0
195.0,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0
196.0,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0
197.0,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0
198.0,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0
199.0,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0
200.0,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0
201.0,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0
202.0,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0
203.0,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0
204.0,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0
205.0,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0
206.0,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0
207.0,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0
208.0,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0
209.0,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0
210.0,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0
211.0,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0
212.0,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0
213.0,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0
214.0,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0
215.0,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0
216.0,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0
217.0,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0
218.0,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0
219.0,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0
220.0,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0
221.0,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0
222.0,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0
223.0,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0
224.0,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0
225.0,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0
226.0,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0
227.0,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0
228.0,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0
229.0,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0
230.0,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0
231.0,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0
232.0,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0
233.0,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0
234.0,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0
235.0,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0
236.0,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0
237.0,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0
238.0,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0
239.0,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0
240.0,L47419,L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0
241.0,M15100,M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0
242.0,L47421,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0
243.0,L47422,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0
244.0,L47423,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0
245.0,M15104,M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0
246.0,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0
247.0,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0
248.0,L47427,L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0
249.0,L47428,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0
250.0,L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0
251.0,L47430,L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0
252.0,M15111,M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0
253.0,L47432,L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0
254.0,L47433,L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0
255.0,L47434,L,298.0,308.2,1514,37.9,9,0,0,0,0,0,0
256.0,L47435,L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0
257.0,L47436,L,298.1,308.3,1331,63.0,13,0,0,0,0,0,0
258.0,L47437,L,298.0,308.0,1615,29.5,15,0,0,0,0,0,0
259.0,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0
260.0,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0
261.0,M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0
262.0,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0
263.0,M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0
264.0,M15123,M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0
265.0,L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0
266.0,L47445,L,298.0,308.1,1454,37.1,35,0,0,0,0,0,0
267.0,H29680,H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0
268.0,L47447,L,297.9,308.0,1954,21.1,42,0,0,0,0,0,0
269.0,H29682,H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0
270.0,L47449,L,298.0,308.0,1524,37.0,49,0,0,0,0,0,0
271.0,H29684,H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0
272.0,M15131,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0
273.0,L47452,L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0
274.0,L47453,L,298.1,308.0,1426,46.0,61,0,0,0,0,0,0
275.0,L47454,L,298.1,308.0,1652,28.5,63,0,0,0,0,0,0
276.0,L47455,L,298.0,308.0,1401,54.7,65,0,0,0,0,0,0
277.0,M15136,M,298.0,307.9,1750,26.6,67,0,0,0,0,0,0
278.0,H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0
279.0,M15138,M,298.0,308.0,1620,29.4,75,0,0,0,0,0,0
280.0,L47459,L,298.0,308.1,1819,23.4,78,0,0,0,0,0,0
281.0,M15140,M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0
282.0,L47461,L,298.1,308.0,1626,36.5,83,0,0,0,0,0,0
283.0,M15142,M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0
284.0,L47463,L,298.2,308.2,1469,43.0,88,0,0,0,0,0,0
285.0,L47464,L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0
286.0,L47465,L,298.2,308.3,1568,36.0,92,0,0,0,0,0,0
287.0,L47466,L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0
288.0,L47467,L,298.2,308.3,1805,31.6,96,0,0,0,0,0,0
289.0,H29702,H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0
290.0,L47469,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0
291.0,L47470,L,298.1,308.4,1438,45.6,105,0,0,0,0,0,0
292.0,L47471,L,298.0,308.3,1473,42.6,107,0,0,0,0,0,0
293.0,L47472,L,298.1,308.4,1335,40.2,109,0,0,0,0,0,0
294.0,H29707,H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0
295.0,M15154,M,298.1,308.5,1372,51.1,116,0,0,0,0,0,0
296.0,M15155,M,298.1,308.6,1716,30.7,119,0,0,0,0,0,0
297.0,L47476,L,298.0,308.5,1395,46.2,122,0,0,0,0,0,0
298.0,L47477,L,298.0,308.5,1713,25.3,124,0,0,0,0,0,0
299.0,H29712,H,297.9,308.5,2129,18.7,126,0,0,0,0,0,0
300.0,M15159,M,297.8,308.3,1567,35.6,131,0,0,0,0,0,0
301.0,L47480,L,297.8,308.4,1622,38.3,134,0,0,0,0,0,0
302.0,L47481,L,297.7,308.4,1740,27.1,136,0,0,0,0,0,0
303.0,H29716,H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0
304.0,M15163,M,297.8,308.4,1479,43.5,143,0,0,0,0,0,0
305.0,L47484,L,297.8,308.4,1737,27.5,146,0,0,0,0,0,0
306.0,L47485,L,297.8,308.4,2129,19.2,148,0,0,0,0,0,0
307.0,L47486,L,297.8,308.4,1374,47.1,150,0,0,0,0,0,0
308.0,M15167,M,297.8,308.4,1579,36.6,152,0,0,0,0,0,0
309.0,L47488,L,297.9,308.5,1305,47.2,155,0,0,0,0,0,0
310.0,M15169,M,297.9,308.5,1449,40.8,157,0,0,0,0,0,0
311.0,H29724,H,298.0,308.6,1526,41.8,160,0,0,0,0,0,0
312.0,M15171,M,298.0,308.6,1453,44.1,165,0,0,0,0,0,0
313.0,L47492,L,297.9,308.6,1468,36.0,168,0,0,0,0,0,0
314.0,L47493,L,298.0,308.6,1313,50.8,170,0,0,0,0,0,0
315.0,M15174,M,297.9,308.5,1300,53.0,172,0,0,0,0,0,0
316.0,L47495,L,297.9,308.4,1646,40.6,175,0,0,0,0,0,0
317.0,L47496,L,297.8,308.4,1714,33.2,177,0,0,0,0,0,0
318.0,L47497,L,297.8,308.4,1685,28.4,179,0,0,0,0,0,0
319.0,L47498,L,297.8,308.4,1512,39.9,181,0,0,0,0,0,0
320.0,L47499,L,297.8,308.4,1612,32.1,183,0,0,0,0,0,0
321.0,H29734,H,297.8,308.4,1550,38.2,185,0,0,0,0,0,0
322.0,L47501,L,297.8,308.4,1518,32.5,190,0,0,0,0,0,0
323.0,L47502,L,297.8,308.5,1448,40.0,192,0,0,0,0,0,0
324.0,L47503,L,297.8,308.5,1561,46.3,194,0,0,0,0,0,0
325.0,M15184,M,297.8,308.5,1488,41.9,196,0,0,0,0,0,0
326.0,L47505,L,297.8,308.5,1699,27.8,199,0,0,0,0,0,0
327.0,L47506,L,297.7,308.5,1501,41.4,201,0,0,0,0,0,0
328.0,L47507,L,297.7,308.5,1373,56.7,203,1,0,0,0,1,0
329.0,H29742,H,297.6,308.4,1703,31.4,205,0,0,0,0,0,0
330.0,H29743,H,297.7,308.5,1720,29.9,210,0,0,0,0,0,0
331.0,M15190,M,297.6,308.4,1398,41.9,215,0,0,0,0,0,0
332.0,M15191,M,297.6,308.4,1391,51.9,218,0,0,0,0,0,0
333.0,M15192,M,297.6,308.3,1538,40.2,0,0,0,0,0,0,0
334.0,L47513,L,297.5,308.2,1647,31.3,3,0,0,0,0,0,0
335.0,M15194,M,297.5,308.1,1469,44.8,5,0,0,0,0,0,0
336.0,L47515,L,297.4,308.1,1749,25.9,8,0,0,0,0,0,0
337.0,M15196,M,297.6,308.2,1995,20.5,10,0,0,0,0,0,0
338.0,L47517,L,297.6,308.3,1742,27.7,13,0,0,0,0,0,0
339.0,L47518,L,297.5,308.2,1563,38.2,15,0,0,0,0,0,0
340.0,M15199,M,297.5,308.2,1713,32.2,17,0,0,0,0,0,0
341.0,L47520,L,297.4,308.1,1474,39.4,20,0,0,0,0,0,0
342.0,M15201,M,297.4,308.2,1530,32.6,22,0,0,0,0,0,0
343.0,L47522,L,297.4,308.2,1471,46.5,25,0,0,0,0,0,0
344.0,L47523,L,297.5,308.3,1388,48.6,27,0,0,0,0,0,0
345.0,M15204,M,297.5,308.2,2448,13.8,29,0,0,0,0,0,0
346.0,L47525,L,297.5,308.3,1585,32.9,32,0,0,0,0,0,0
347.0,M15206,M,297.5,308.3,1459,45.2,34,0,0,0,0,0,0
348.0,L47527,L,297.5,308.3,1544,40.8,37,0,0,0,0,0,0
349.0,L47528,L,297.6,308.3,1617,31.7,39,0,0,0,0,0,0
350.0,L47529,L,297.6,308.3,1595,34.3,41,0,0,0,0,0,0
351.0,H29764,H,297.6,308.3,1400,44.3,43,0,0,0,0,0,0
352.0,M15211,M,297.6,308.4,1611,31.0,48,0,0,0,0,0,0
353.0,M15212,M,297.6,308.4,1507,46.0,51,0,0,0,0,0,0
354.0,H29767,H,297.5,308.3,1674,30.0,54,0,0,0,0,0,0
